conflict_count,period_bytes,bytes,batch,relation_to_ways_candidate,cache-misses,cycles,instructions
1,73728,221184,2,below,18721,631102979,400266541
2,73728,294912,4,below,19094,633553697,407307728
3,73728,368640,6,below,18431,634068881,412924777
4,73728,442368,8,below,18626,634591855,418578900
5,73728,516096,10,below,18949,636235281,425769222
6,73728,589824,12,below,17338,637395327,431782366
7,73728,663552,14,below,18694,638724072,437832951
8,73728,737280,16,at,18168,748796620,442471218
9,73728,811008,18,above,17907,826116345,243120548
10,73728,884736,20,above,18985,835488617,285291697
11,73728,958464,22,above,19015,824636880,291144244
13,73728,1105920,26,above,19133,887627921,303356896
14,73728,1179648,28,above,18926,924419522,309171968
16,73728,1327104,32,above,19297,965984218,321471105
20,73728,1622016,40,above,19510,1070382388,345574645
24,73728,1916928,48,above,18555,1190406155,369282192
