bytes,kib,in_bracket,DTLB-read-miss,L1D-read-access,L1D-read-miss,cache-misses,cycles,instructions
16384,16.0,False,2308,645859826,274461,17801,2582133578,1860351232
18132,17.707,False,2343,645947438,304524,17070,2582234275,1860429091
20066,19.596,False,2327,645599594,334422,16473,2586078974,1860497621
22207,21.687,False,2373,646038316,377499,16224,2581856348,1859874765
24576,24.0,False,2377,645626854,428239,15909,2581149943,1859157978
27198,26.561,False,2393,645579439,647086,17168,2588350577,1860042369
30099,29.394,False,2437,644247069,4417284,16304,2648099609,1855599560
32768,32.0,True,2466,643849809,16675017,15511,2669057553,1854476874
33310,32.529,True,2443,640742765,30751250,15839,2757815628,1845060664
36864,36.0,True,2436,628464799,119531449,15213,3170708889,1807560687
40797,39.841,False,2403,620781055,231516595,15235,3520497283,1785125380
45149,44.091,False,2399,614624542,346843492,15622,3877746651,1766405312
49966,48.795,False,2409,610490266,451815317,16448,4173141961,1753894305
55296,54.0,False,2385,607272630,534561054,16054,4450506919,1744021112
