bytes,kib,in_bracket,L1D-read-access,L1D-read-miss,LL-read-access,LL-read-miss,cache-misses,cycles,dTLB-read-miss,instructions,time_enabled_ns,time_running_ns
262144,256.0,False,546333541,512890729,UNAVAILABLE,UNAVAILABLE,384239,6218328933,UNAVAILABLE,1661847245,1914705642,1914705642
290110,283.311,False,544513019,523358840,UNAVAILABLE,UNAVAILABLE,9312274,6877064118,UNAVAILABLE,1653473118,2115670010,2115670010
321060,313.535,False,543220491,581151162,UNAVAILABLE,UNAVAILABLE,9410626,7215160150,UNAVAILABLE,1649487518,2222356368,2222356368
355311,346.983,False,540577148,494190890,UNAVAILABLE,UNAVAILABLE,29811623,8055651735,UNAVAILABLE,1641568300,2479732106,2479732106
393216,384.0,False,539728272,494866944,UNAVAILABLE,UNAVAILABLE,31875520,8373920012,UNAVAILABLE,1638972836,2576404207,2576404207
435165,424.966,False,537377944,497170670,UNAVAILABLE,UNAVAILABLE,60890772,9370174229,UNAVAILABLE,1631893486,2888777617,2888777617
481589,470.302,False,536873406,499797919,UNAVAILABLE,UNAVAILABLE,64400937,9707044985,UNAVAILABLE,1630405449,2988644527,2988644527
524288,512.0,True,536395387,502451300,UNAVAILABLE,UNAVAILABLE,70274256,10027594243,UNAVAILABLE,1629006661,3089885653,3089885653
532966,520.475,True,536009776,532854278,UNAVAILABLE,UNAVAILABLE,80109961,10209896109,UNAVAILABLE,1627848631,3145345801,3145345801
589824,576.0,True,534861713,545094529,UNAVAILABLE,UNAVAILABLE,104799425,10953882451,UNAVAILABLE,1624376681,3373576284,3373576284
652748,637.449,False,533639077,514958768,UNAVAILABLE,UNAVAILABLE,140756440,12182978603,UNAVAILABLE,1620564746,3751488389,3751488389
722384,705.453,False,532591687,512265801,UNAVAILABLE,UNAVAILABLE,171592007,13139220310,UNAVAILABLE,1617570996,4044968873,4044968873
799449,780.712,False,532008713,507123987,UNAVAILABLE,UNAVAILABLE,200128655,14062080486,UNAVAILABLE,1615835551,4330409775,4330409775
884736,864.0,False,531443329,570973073,UNAVAILABLE,UNAVAILABLE,258160276,15025199692,UNAVAILABLE,1614077591,4627758013,4627758013
