bytes,kib,in_bracket,DTLB-read-miss,L1D-read-access,L1D-read-miss,cache-misses,cycles,instructions
8388608,8192.0,False,3868780,656127555,539144932,509162629,40852504989,1761284836
9283521,9065.938,False,54576418,713123133,538800994,512000667,40756646908,1776074732
10273905,10033.11,False,99537975,766905246,537778885,512676693,47848537193,1790501047
11369944,11103.461,False,139829753,817513469,537864370,519991786,55873198441,1806377139
12582912,12288.0,False,175788923,864516592,535593432,516906105,73960135428,1823775627
13925281,13598.907,False,209642491,911238640,536736407,518451373,75492601887,1845358838
15410857,15049.665,False,239874710,955191839,536964882,520672784,84233397804,1868654265
16777216,16384.0,True,262647927,990174293,538039796,522461170,89878804097,1890391397
17054917,16655.192,True,267180531,998631057,537145441,524454230,85310086363,1895180761
18874368,18432.0,True,292358076,1039447130,536585521,525799826,93902278792,1924125923
20887922,20398.361,False,314518534,1080787476,536926600,528637004,103343758200,1956286074
23116285,22574.497,False,335182358,1122320337,537754899,539982010,109725640265,1991971177
25582375,24982.788,False,353987224,1164278803,539422989,534071464,116613326019,2031588794
28311552,27648.0,False,371162641,1207716800,540795255,538877608,118317531025,2075697874
