conflict_count,period_bytes,bytes,batch,relation_to_ways_candidate,L1D-read-access,L1D-read-miss,cache-misses,cycles,instructions
1,4096,12288,2,below,102553172,260911,529,393607591,275083721
2,4096,16384,4,below,94412531,261015,471,448224450,321602663
3,4096,20480,6,below,106627789,261070,2905,450391596,327912979
4,4096,24576,8,below,108570393,263488,715,448975079,330296823
5,4096,28672,10,below,101355929,272107,511,449275537,335927359
6,4096,32768,12,below,102434048,340314,452,457906103,345457713
7,4096,36864,14,below,104384911,849538,701,454699484,347618631
8,4096,40960,16,at,116476746,2625563,434,462424366,353718209
9,4096,45056,18,above,108142390,9620956,373,472969349,337126879
10,4096,49152,20,above,75930491,35434878,3156,546248080,262239268
11,4096,53248,22,above,77914240,37714379,563,561760403,265019494
13,4096,61440,26,above,81918926,41984288,1719,622525764,279635425
14,4096,65536,28,above,87012563,47137618,1795,648232409,285834478
16,4096,73728,32,above,87569651,47697900,2544,692277073,297526493
20,4096,90112,40,above,98977272,62010327,1932,803789524,319288298
24,4096,106496,48,above,103934601,66982502,674,910173742,345770121
