conflict_count,period_bytes,bytes,batch,relation_to_ways_candidate,LL-read-access,LL-read-miss,cache-misses,cycles,instructions
1,131072,393216,2,below,3528,293,529,394407252,275579678
2,131072,524288,4,below,3269,245,388,443722578,317812490
3,131072,655360,6,below,3449,261,358,450274129,327392955
4,131072,786432,8,below,4128,292,421,453331222,333270014
5,131072,917504,10,below,3542,267,419,455667472,340373473
6,131072,1048576,12,below,25004,429,966,454665068,341791422
7,131072,1179648,14,below,15005,333,492,455633814,347619067
8,131072,1310720,16,at,8828,256,388,470077710,353657183
9,131072,1441792,18,above,2539251,275,387,473111635,289982020
10,131072,1572864,20,above,11974352,295,471,944862517,225054791
11,131072,1703936,22,above,28147846,358,92649,1332632228,231043538
13,131072,1966080,26,above,32836770,335,601,1513389301,244891575
14,131072,2097152,28,above,34138147,306,603,1602309791,249306913
16,131072,2359296,32,above,38522061,474,87688,1816127547,261432701
20,131072,2883584,40,above,46230955,369,2064,2141882536,285301041
24,131072,3407872,48,above,54085673,327,587,2492121619,309181689
