bytes,kib,in_bracket,L1D-read-access,L1D-read-miss,LL-read-access,LL-read-miss,cache-misses,cycles,dTLB-read-miss,instructions,time_enabled_ns,time_running_ns
16384,16.0,False,0,0,0,0,UNAVAILABLE,0,UNAVAILABLE,0,991107298,0
18132,17.707,False,0,0,0,0,UNAVAILABLE,0,UNAVAILABLE,0,990676429,0
20066,19.596,False,0,0,0,0,UNAVAILABLE,0,UNAVAILABLE,0,992683629,0
22207,21.687,False,0,0,0,0,UNAVAILABLE,0,UNAVAILABLE,0,992108985,0
24576,24.0,False,0,0,0,0,UNAVAILABLE,0,UNAVAILABLE,0,992022506,0
27198,26.561,False,0,0,0,0,UNAVAILABLE,0,UNAVAILABLE,0,1030126638,0
30099,29.394,False,0,0,0,0,UNAVAILABLE,0,UNAVAILABLE,0,1066060334,0
32768,32.0,True,0,0,0,0,UNAVAILABLE,0,UNAVAILABLE,0,1026558840,0
33310,32.529,True,0,0,0,0,UNAVAILABLE,0,UNAVAILABLE,0,1082046151,0
36864,36.0,True,0,0,0,0,UNAVAILABLE,0,UNAVAILABLE,0,1314404056,0
40797,39.841,False,0,0,0,0,UNAVAILABLE,0,UNAVAILABLE,0,1393446365,0
45149,44.091,False,0,0,0,0,UNAVAILABLE,0,UNAVAILABLE,0,1524094741,0
49966,48.795,False,0,0,0,0,UNAVAILABLE,0,UNAVAILABLE,0,1648826437,0
55296,54.0,False,0,0,0,0,UNAVAILABLE,0,UNAVAILABLE,0,1764038732,0
