bytes,kib,in_bracket,L1D-read-access,L1D-read-miss,LL-read-access,LL-read-miss,cache-misses,cycles,dTLB-read-miss,instructions,time_enabled_ns,time_running_ns
4194304,4096.0,False,0,0,0,0,UNAVAILABLE,0,UNAVAILABLE,0,10788296455,0
5159311,5038.39,False,0,0,0,0,UNAVAILABLE,0,UNAVAILABLE,0,11416515495,0
6346342,6197.6,False,0,0,0,0,UNAVAILABLE,0,UNAVAILABLE,0,12046924315,0
7806479,7623.515,False,0,0,0,0,UNAVAILABLE,0,UNAVAILABLE,0,12033554070,0
8388608,8192.0,True,0,0,0,0,UNAVAILABLE,0,UNAVAILABLE,0,12126331783,0
9602559,9377.499,True,0,0,0,0,UNAVAILABLE,0,UNAVAILABLE,0,12552171453,0
11811873,11535.032,True,0,0,0,0,UNAVAILABLE,0,UNAVAILABLE,0,14371958582,0
14529495,14188.96,True,0,0,0,0,UNAVAILABLE,0,UNAVAILABLE,0,15692292241,0
17872376,17453.492,True,0,0,0,0,UNAVAILABLE,0,UNAVAILABLE,0,16851948807,0
21984372,21469.113,True,0,0,0,0,UNAVAILABLE,0,UNAVAILABLE,0,21036177928,0
27042438,26408.631,True,0,0,0,0,UNAVAILABLE,0,UNAVAILABLE,0,27534692513,0
33264240,32484.609,True,0,0,0,0,UNAVAILABLE,0,UNAVAILABLE,0,35588785164,0
33554432,32768.0,True,0,0,0,0,UNAVAILABLE,0,UNAVAILABLE,0,37297537728,0
40917527,39958.522,False,0,0,0,0,UNAVAILABLE,0,UNAVAILABLE,0,38633011940,0
50331648,49152.0,False,0,0,0,0,UNAVAILABLE,0,UNAVAILABLE,0,34909716787,0
