bytes,kib,in_bracket,DTLB-read-miss,L1D-read-access,L1D-read-miss,LL-read-access,LL-read-miss,cache-misses,cycles,instructions
131072,128.0,False,421,565477383,421407393,27403,580,4042,5572472561,1664005335
145055,141.655,False,510,565246425,432007301,31611785,518,2865,5701516059,1678568263
160530,156.768,False,562,564812215,438927367,356898,303,7654,7485671245,1663426493
177655,173.491,False,517,564601754,450013672,24208019,307,8847,6611098244,1669357961
196608,192.0,False,542,564828768,456504414,35476165,314,7508,7312559853,1665558869
217583,212.483,False,554,564579423,464455488,4261873,281,3765,7329367626,1665003675
240795,235.151,False,585,564191252,472840888,78624183,389,53813,8485571461,1659400290
262144,256.0,True,597,560989833,475201518,68279418,327,98904,8697080075,1659025302
266483,260.237,True,601,559553820,475140252,95906021,472,57707,8172837096,1661538402
294912,288.0,True,633,557325066,478041683,90416433,380,102253,10433242994,1652459890
326374,318.725,False,633,556741976,483808038,125943935,516,93557,10601085898,1652235391
361192,352.727,False,705,555323966,483271194,176450453,441,125202,12551332569,1647712478
399725,390.356,False,712,554869299,487946010,222773518,345,111491,13667909698,1646374543
442368,432.0,False,731,554583797,490880065,233456868,452,111603,14833038340,1644482899
