bytes,kib,in_bracket,DTLB-read-miss,L1D-read-access,L1D-read-miss,LL-read-access,LL-read-miss,cache-misses,cycles,instructions
4194304,4096.0,False,1722251,579315241,522849032,492098343,1378,127310,24844375223,1695958926
5159311,5038.39,False,98367654,586161419,581556575,500004408,1700,129478,26329963806,1711371786
6346342,6197.6,False,176937437,594734397,613956711,505564475,3849,134086,27324685639,1729992695
7806479,7623.515,False,241397386,605353403,645644902,508246070,9513,163257,28230238849,1753090950
8388608,8192.0,True,260530482,609602374,658328066,512928237,16033,194226,28526822671,1762341876
9602559,9377.499,True,293688295,618464272,683099358,512168133,21349,291256,29083844652,1781657096
11811873,11535.032,True,335931529,634584568,720675916,519244989,188192,318718,29874861776,1816923046
14529495,14188.96,True,370651084,654602237,761196077,523505881,465838,982664,30760635975,1860448105
17872376,17453.492,True,398760889,679166548,801969522,527762345,45141200,8044881,31816419298,1913845248
21984372,21469.113,True,420979861,708182665,840092686,537692145,66881463,24868652,46179710282,1974998229
27042438,26408.631,True,441778735,745942616,877798105,552837914,46380767,42379741,40446583642,2059261983
33264240,32484.609,True,457429095,791156000,910178350,575514545,104301468,106588468,52314629594,2156990288
33554432,32768.0,True,458070867,792884470,912054639,578589728,103898511,108980028,53145752773,2161707297
40917527,39958.522,False,470575679,846669518,940829440,644134805,185243238,187434875,65928066758,2277864491
50331648,49152.0,False,482842877,916213322,971216102,661100184,243898422,247415141,77881941391,2430145487
