conflict_count,period_bytes,bytes,batch,relation_to_ways_candidate,L1D-read-access,L1D-read-miss,cache-misses,cycles,instructions
1,16384,49152,2,below,166200456,155064,154962,553599768,341270617
2,16384,65536,4,below,168121919,163014,164540,694444301,452039049
3,16384,81920,6,below,170320030,164645,165273,710088238,457497367
4,16384,98304,8,at,172269282,6245847,6333392,739843246,463424208
5,16384,114688,10,above,120837837,31545737,31511347,765164334,308008458
6,16384,131072,12,above,122755360,33533894,33509398,794088998,315050303
7,16384,147456,14,above,124787031,36503529,36540359,832541443,321225255
9,16384,180224,18,above,128750087,40503747,40508009,887937089,333252593
10,16384,196608,20,above,130781299,42548686,42513343,916554062,339198200
12,16384,229376,24,above,134755912,46519960,46541781,968479251,351176008
16,16384,294912,32,above,142829564,54504916,54540441,1084243987,375187477
20,16384,360448,40,above,150774617,62506726,62543925,1196633270,399180625
