conflict_count,period_bytes,bytes,batch,relation_to_ways_candidate,cache-misses,cycles,instructions
1,73728,221184,2,below,154931,648736312,411385597
2,73728,294912,4,below,155214,692760114,451545871
3,73728,368640,6,below,155390,695671836,457485201
4,73728,442368,8,below,164669,694238597,463535938
5,73728,516096,10,below,164476,698443013,469487636
6,73728,589824,12,below,165007,693818056,475897793
7,73728,663552,14,below,181796,700095753,482047601
8,73728,737280,16,at,6247081,754685980,487206430
9,73728,811008,18,above,32737073,855835105,363727444
10,73728,884736,20,above,42502766,904824027,339142573
11,73728,958464,22,above,44515286,944911661,345069392
13,73728,1105920,26,above,48470422,1000830943,357172585
14,73728,1179648,28,above,50455575,1028125633,363085872
16,73728,1327104,32,above,54483290,1088298869,375175421
20,73728,1622016,40,above,62503237,1199496606,399107145
24,73728,1916928,48,above,70492859,1316867510,423224580
