bytes,kib,in_bracket,L1D-read-access,L1D-read-miss,LL-read-access,LL-read-miss,cache-misses,cycles,dTLB-read-miss,instructions,time_enabled_ns,time_running_ns
524288,512.0,False,1083434757,930502628,UNAVAILABLE,UNAVAILABLE,930502628,15707795669,UNAVAILABLE,3208425794,5270975480,5270975480
580220,566.621,False,1087807289,945277966,UNAVAILABLE,UNAVAILABLE,945277966,16679962551,UNAVAILABLE,3221165237,5566307480,5566307480
642119,627.069,False,1087571325,952112314,UNAVAILABLE,UNAVAILABLE,952112314,17353956569,UNAVAILABLE,3219821608,5792763120,5792763120
710622,693.967,False,1086843769,962472132,UNAVAILABLE,UNAVAILABLE,962472132,18705693371,UNAVAILABLE,3216948366,6243363200,6243363200
786432,768.0,False,1087140318,968733678,UNAVAILABLE,UNAVAILABLE,968733678,19463531854,UNAVAILABLE,3216077521,6495565160,6495565160
870330,849.932,False,1086933446,975936863,UNAVAILABLE,UNAVAILABLE,975936863,20262956780,UNAVAILABLE,3215630248,6762310520,6762310520
963179,940.604,False,1083190192,977236745,UNAVAILABLE,UNAVAILABLE,977236745,28452827450,UNAVAILABLE,3203620350,9494693520,9494693520
1048576,1024.0,True,1084455422,982693425,UNAVAILABLE,UNAVAILABLE,982693425,27679356081,UNAVAILABLE,3206007328,9236278280,9236278280
1065932,1040.949,True,1083003349,981415331,UNAVAILABLE,UNAVAILABLE,981415331,31643669961,UNAVAILABLE,3201993446,10559032920,10559032920
1179648,1152.0,True,1082871168,987847470,UNAVAILABLE,UNAVAILABLE,987847470,35723286990,UNAVAILABLE,3200600361,11918457200,11918457200
1305495,1274.897,False,1083209871,991822667,UNAVAILABLE,UNAVAILABLE,991822667,40422675808,UNAVAILABLE,3199747005,13485649640,13485649640
1444768,1410.906,False,1083379797,995108076,UNAVAILABLE,UNAVAILABLE,995108076,45846018610,UNAVAILABLE,3199506489,15294431720,15294431720
1598898,1561.424,False,1084047874,997192177,UNAVAILABLE,UNAVAILABLE,997192177,50573137338,UNAVAILABLE,3200301188,16871453920,16871453920
1769472,1728.0,False,1084983334,1000795746,UNAVAILABLE,UNAVAILABLE,1000795746,56743509325,UNAVAILABLE,3201389913,18927099760,18927099760
