bytes,kib,in_bracket,DTLB-read-miss,L1D-read-access,L1D-read-miss,cache-misses,cycles,instructions
524288,512.0,False,649875736,1079347993,926851097,926983624,15736178603,3192897468
580220,566.621,False,688042700,1076375011,935397266,935619027,15146583696,3188695584
642119,627.069,False,723671283,1078818296,945336894,944587832,17382153462,3186410189
710622,693.967,False,748778819,1077079059,953484565,953164724,19703551417,3185061181
786432,768.0,False,775766831,1077502247,959241969,959397372,20863911423,3185268576
870330,849.932,False,800355440,1077276763,967227237,967527920,27815933203,3185769670
963179,940.604,False,822761923,1076910955,971281620,971803512,26564091968,3184559980
1048576,1024.0,True,842063605,1078007267,975716394,976868763,30101794868,3186041190
1065932,1040.949,True,838240885,1077303398,976033678,976648628,29893035265,3189439509
1179648,1152.0,True,861046158,1077847835,983268016,985249687,33751689416,3187163711
1305495,1274.897,False,877026796,1079642112,987417314,988072173,39012099578,3191518303
1444768,1410.906,False,890974036,1079994139,992523287,992743989,45028181384,3192131105
1598898,1561.424,False,904905015,1080948375,994699505,994811562,51319000219,3193317567
1769472,1728.0,False,914898177,1082318419,998572153,998496970,57280290367,3196868574
