bytes,kib,in_bracket,L1D-read-access,L1D-read-miss,LL-read-access,LL-read-miss,cache-misses,cycles,dTLB-read-miss,instructions,time_enabled_ns,time_running_ns
8388608,8192.0,False,1142219505,1027926088,UNAVAILABLE,UNAVAILABLE,1027926088,105279215005,UNAVAILABLE,3312523777,35133830080,35133830080
9283521,9065.938,False,1150321872,1029500921,UNAVAILABLE,UNAVAILABLE,1029500921,107218357707,UNAVAILABLE,3328390379,35771532480,35771532480
10273905,10033.11,False,1159420404,1031156572,UNAVAILABLE,UNAVAILABLE,1031156572,109446858940,UNAVAILABLE,3346006641,36515227800,36515227800
11369944,11103.461,False,1168968163,1031627398,UNAVAILABLE,UNAVAILABLE,1031627398,111084498128,UNAVAILABLE,3365555344,37062414560,37062414560
12582912,12288.0,False,1179930986,1032637491,UNAVAILABLE,UNAVAILABLE,1032637491,112871698316,UNAVAILABLE,3387177621,37662380320,37662380320
13925281,13598.907,False,1192155919,1034459671,UNAVAILABLE,UNAVAILABLE,1034459671,114307903451,UNAVAILABLE,3411143753,38138508920,38138508920
15410857,15049.665,False,1205439053,1034990295,UNAVAILABLE,UNAVAILABLE,1034990295,115778546074,UNAVAILABLE,3437716968,38628074840,38628074840
16777216,16384.0,True,1217739335,1035395196,UNAVAILABLE,UNAVAILABLE,1035395196,119249990249,UNAVAILABLE,3462114452,39797699760,39797699760
17054917,16655.192,True,1220205688,1036093737,UNAVAILABLE,UNAVAILABLE,1036093737,117078950663,UNAVAILABLE,3467095631,39062640360,39062640360
18874368,18432.0,True,1236652582,1036794774,UNAVAILABLE,UNAVAILABLE,1036794774,118711937211,UNAVAILABLE,3499633023,39609562440,39609562440
20887922,20398.361,False,1254634481,1038697496,UNAVAILABLE,UNAVAILABLE,1038697496,120027125500,UNAVAILABLE,3535664321,40049388600,40049388600
23116285,22574.497,False,1274778373,1039471809,UNAVAILABLE,UNAVAILABLE,1039471809,123079650712,UNAVAILABLE,3575375246,41068486080,41068486080
25582375,24982.788,False,1296995679,1041447904,UNAVAILABLE,UNAVAILABLE,1041447904,127749069523,UNAVAILABLE,3619325714,42625279640,42625279640
28311552,27648.0,False,1321714161,1043552498,UNAVAILABLE,UNAVAILABLE,1043552498,134710000257,UNAVAILABLE,3667945830,44950134560,44950134560
