stride_bytes,L1D-read-access,L1D-read-miss,cycles,instructions,time_enabled_ns,time_running_ns
16,1100610073,429212305,9201989215,3264093198,3073146560,3073146560
24,1098288447,493913920,9660461711,3257576856,3225991640,3225991640
32,1098450610,460000248,9515779225,3258551164,3177704160,3177704160
40,1097143544,518088145,9865645627,3254260183,3294311160,3294311160
48,1097609237,476561792,9661531424,3256315479,3226373600,3226373600
56,1096068665,536893395,10083820450,3251594225,3367165120,3367165120
64,1094961877,528946787,10302086779,3247780570,3439691360,3439691360
72,1094608038,594936689,10577646388,3246757191,3531702360,3531702360
80,1095751779,529371254,10158540982,3250486828,3392048800,3392048800
96,1095611130,529309981,10189110877,3250188515,3402060440,3402060440
112,1095549522,528977335,10156429966,3250339207,3391229040,3391229040
128,1095568011,530373111,10372951282,3248254900,3463643400,3463643400
160,1095536883,528691304,10157703504,3250208135,3392950160,3392950160
192,1095535726,528856501,10144956628,3250285777,3387685560,3387685560
256,1094719938,530036628,10380068825,3248017202,3466079480,3466079480
