conflict_count,period_bytes,bytes,batch,relation_to_ways_candidate,L1D-read-access,L1D-read-miss,cache-misses,cycles,instructions
1,4096,12288,2,below,151331891,164187,216436,654826647,465821786
2,4096,16384,4,below,153080979,164019,216998,682012416,492078867
3,4096,20480,6,below,155336337,164351,218883,627468098,455350062
4,4096,24576,8,below,153684822,164855,206346,683717997,501578029
5,4096,28672,10,below,159242040,169228,217071,687291238,509400235
6,4096,32768,12,below,129994197,179911,213603,690008613,515227452
7,4096,36864,14,below,162533308,285871,201684,697343543,525874288
8,4096,40960,16,at,165180798,10219904,188772,707047234,526436721
9,4096,45056,18,above,93453199,53208753,191109,772091769,315134541
10,4096,49152,20,above,94792180,54674356,197577,791092089,321247078
11,4096,53248,22,above,96742628,58141140,194888,802933439,324646234
13,4096,61440,26,above,101150437,61060354,204391,854270732,337428685
14,4096,65536,28,above,103476601,63418477,194069,885234707,344854231
16,4096,73728,32,above,106813376,69677418,192265,953837097,356348202
20,4096,90112,40,above,115115011,77997388,196530,1069514262,381008876
24,4096,106496,48,above,122095013,84994604,194593,1145145253,404306778
