conflict_count,period_bytes,bytes,batch,relation_to_ways_candidate,LL-read-access,LL-read-miss,cache-misses,cycles,instructions
1,65536,196608,2,below,2349,457,217878,676949623,482522672
2,65536,262144,4,below,2732,574,216746,681235494,491298700
3,65536,327680,6,below,2704,504,218816,683022733,496940385
4,65536,393216,8,at,3245,703,218450,691026604,506843538
5,65536,458752,10,above,3467,688,219403,692006667,512695959
6,65536,524288,12,above,5516,619,206761,688700710,514150088
7,65536,589824,14,above,13651,619,204417,692353002,522034148
9,65536,720896,18,above,11053666,533,191514,872431054,377167008
10,65536,786432,20,above,19182024,610,191064,1049812152,236543820
12,65536,917504,24,above,34435691,661,182393,1749222870,249450609
16,65536,1179648,32,above,42340410,705,191134,2128904336,273243892
20,65536,1441792,40,above,50326151,626,196207,2523091859,297298130
