bytes,kib,in_bracket,DTLB-read-miss,L1D-read-access,L1D-read-miss,LL-read-access,LL-read-miss,cache-misses,cycles,instructions
16384,16.0,False,346,653386533,179281,6145,810,218362,2622831071,1934295968
18132,17.707,False,345,655237964,198564,5764,693,218640,2589209765,1908435106
20066,19.596,False,349,652643538,236013,19318,733,218544,2645192880,1949812417
22207,21.687,False,344,652799467,301642,11936,657,217208,2642051519,1947130432
24576,24.0,False,358,653569401,369129,11698,763,216382,2644246800,1947652891
27198,26.561,False,358,654835928,688509,5678,793,212906,2635513170,1941257173
30099,29.394,False,368,652367882,7939998,9487,1331,196354,2653844868,1941515253
32768,32.0,True,361,653675791,10775817,55276,975,200654,2669379079,1911216051
33310,32.529,True,741,647720854,21934975,6431,1631,196698,2795893564,1931283636
36864,36.0,True,360,630086067,88899179,13413,1593,192523,3243498284,1877181339
40797,39.841,False,371,618190040,143125285,24215,1414,189814,3630324331,1835341189
45149,44.091,False,365,611573637,188328816,13230,2451,193051,3955798978,1816444759
49966,48.795,False,344,606553186,229008373,18654,2962,192674,4264456850,1803100840
55296,54.0,False,369,601814361,267261553,22369,1857,195489,4547025214,1787594582
