bytes,kib,in_bracket,DTLB-read-miss,L1D-read-access,L1D-read-miss,LL-read-access,LL-read-miss,cache-misses,cycles,instructions
1048576,1024.0,False,1297,561372506,512991805,392639483,1416,298357,20798190602,1663067202
1366525,1334.497,False,1550,563189451,516071818,419531594,10273,337243,21811445524,1662006710
1780882,1739.143,False,2297,566228100,518453396,440543171,18817,370317,22645794295,1673230884
2097152,2048.0,True,3462,568116878,520470409,451011635,22302,399292,23059165151,1677737962
2320880,2266.484,True,3428,569799422,520857100,456395673,25973,413487,23267914140,1680294521
3024617,2953.728,True,7282,574777996,521837061,468492650,39406,511834,23758122645,1691197238
3941740,3849.355,True,32158,581221557,523795172,478982570,86623,613040,24161414597,1706038869
5136952,5016.555,True,152854,589807691,525566843,486005729,189963,1367850,24535947200,1725188939
6694577,6537.673,True,33299509,600714203,555004948,503271737,2072765,7671979,26118526723,1747970776
8724504,8520.023,True,146908461,614102821,626105668,513932410,15452150,41755407,31787712494,1776543345
11369944,11103.461,True,233391661,629014241,677757508,515564360,61012609,159758028,44437863387,1813693056
14817535,14470.249,True,300305189,655520278,731347548,525420419,131507571,396382847,67343240236,1864513008
16777216,16384.0,True,326182044,669474627,756430220,531456669,207640851,698572367,77377188009,1894971717
19310501,18857.911,False,351565425,687397793,785063821,558183970,273443475,761412723,101033566621,1932212402
25165824,24576.0,False,391915701,730392440,836002403,577303711,301386910,895805047,111156513370,2028705840
