stride_bytes,L1D-read-access,L1D-read-miss,cycles,instructions,time_enabled_ns,time_running_ns
16,552124307,325757971,5812931904,1689529435,1345593624,1345593624
24,552497336,341021752,6137357692,1691011002,1418852759,1418852759
32,552655284,310319527,6206702418,1690927114,1413115571,1413115571
40,551774645,356160458,6376076276,1688210727,1466829583,1466829583
48,551778741,359510080,6371903841,1689282572,1468236315,1468236315
56,550920537,367099624,6500069676,1685970108,1475622135,1475622135
64,552083511,324097149,6274571428,1689290318,1432796781,1432796781
72,548686513,368822728,6832792851,1679376930,1578043688,1578043688
80,547148057,379307846,7063990468,1674390008,1631842249,1631842249
96,548205532,339130059,6839925134,1677453426,1561659472,1561659472
112,545825210,392148482,7261263133,1670234198,1652448024,1652448024
128,542670763,394003070,8097881530,1661065752,1839635693,1839635693
160,548055135,353199071,6937184050,1676852601,1562863486,1562863486
192,555037997,326274863,6093247892,1697855097,1387342600,1387342600
256,541132083,397572027,8291244070,1656530692,1887890653,1887890653
