host,stride,class_index,model_class_count,class_working_set_range,class_median_range,representative_bytes,cpu,unit,source,previous_class_same_cpu,incremental_median_penalty,n,mean,stddev,median,q1,q3,p05,p95,minimum,maximum,outliers,outlier_rule,zero_samples
haswell,8,1,5,"[1024, 32768]","[3.66015625, 3.767578125]",4096,11,TSC_ticks/access,machines/haswell/followup-v1/capacity_control/fbbff4de05c22abc/attempt-1789185590174790736/run.json,,,1000000,3.6696399921875,0.42118335431549475,3.66015625,3.65234375,3.66015625,3.646484375,3.666015625,3.640625,88.861328125,1059,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,0
haswell,8,2,5,"[65536, 262144]","[7.654296875, 10.1875]",131072,11,TSC_ticks/access,machines/haswell/followup-v1/capacity_control/3ade86556c0224c1/attempt-1789185736551348487/run.json,True,5.521484375,1000000,9.2239722109375,0.7069837449825614,9.181640625,9.1171875,9.27734375,9.025390625,9.392578125,8.984375,149.181640625,3102,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,0
haswell,8,3,5,"[524288, 16777216]","[26.4921875, 40.572265625]",2097152,11,TSC_ticks/access,machines/haswell/followup-v1/capacity_control/de183322a1fd55f4/attempt-1789185817214355458/run.json,True,27.853515625,1000000,37.15773552734375,1.665372647776736,37.03515625,36.638671875,37.380859375,36.12890625,37.95703125,35.505859375,189.96484375,10686,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,0
haswell,8,4,5,"[33554432, 67108864]","[99.671875, 155.189453125]",33554432,11,TSC_ticks/access,machines/haswell/followup-v1/capacity_control/960ca831e3f1d88e/attempt-1789185867506871603/run.json,True,62.63671875,1000000,100.00644953515625,4.823765051431357,99.671875,97.025390625,102.416015625,93.234375,107.279296875,80.984375,485.3125,29215,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,0
haswell,8,5,5,"[134217728, 268435456]","[184.173828125, 198.33203125]",134217728,11,TSC_ticks/access,machines/haswell/followup-v1/capacity_control/e945db151abab0b8/attempt-1789185640977376854/run.json,True,84.501953125,1000000,184.73927061328126,5.003950966206131,184.173828125,181.77734375,186.701171875,178.44140625,192.35546875,168.3203125,704.69921875,44912,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,0
haswell,64,1,5,"[1024, 32768]","[3.66015625, 4.330078125]",4096,11,TSC_ticks/access,machines/haswell/followup-v1/capacity_control/3ce59bbd207d9f88/attempt-1789186042959429750/run.json,,,1000000,3.6692261640625,0.4031265287621353,3.66015625,3.65234375,3.66015625,3.646484375,3.666015625,3.640625,47.666015625,981,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,0
haswell,64,2,5,"[65536, 262144]","[10.7265625, 11.619140625]",131072,11,TSC_ticks/access,machines/haswell/followup-v1/capacity_control/e05f91aec0a120e8/attempt-1789186102223253319/run.json,True,7.07421875,1000000,10.77216562109375,0.7464793481974317,10.734375,10.7265625,10.740234375,10.720703125,10.76953125,10.708984375,167.236328125,86716,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,0
haswell,64,3,5,"[524288, 16777216]","[40.21875, 41.2265625]",2097152,11,TSC_ticks/access,machines/haswell/followup-v1/capacity_control/c09142984add42be/attempt-1789186300740719909/run.json,True,29.58203125,1000000,40.48538632617188,1.7144867975904259,40.31640625,40.11328125,40.59765625,39.783203125,40.84375,39.494140625,183.0234375,9021,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,0
haswell,64,4,5,"[33554432, 67108864]","[158.3828125, 204.328125]",33554432,11,TSC_ticks/access,machines/haswell/followup-v1/capacity_control/384df940a5840b5f/attempt-1789186248896643435/run.json,True,118.06640625,1000000,159.1861675390625,6.173129336175593,158.3828125,155.435546875,161.623046875,151.41796875,170.439453125,132.322265625,532.3125,49313,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,0
haswell,64,5,5,"[134217728, 268435456]","[207.85546875, 209.62890625]",134217728,11,TSC_ticks/access,machines/haswell/followup-v1/capacity_control/a7eb72d141407117/attempt-1789186192221651773/run.json,True,49.47265625,1000000,208.57117565234375,4.537978308386893,207.85546875,206.208984375,209.623046875,204.0234375,214.390625,198.33203125,868.85546875,50237,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,0
icelake_8358,8,1,5,"[1024, 65536]","[5.28125, 8.0234375]",8192,33,TSC_ticks/access,machines/icelake_8358/followup-v1/capacity_control/a81061b9c4eb00a7/attempt-1789252596297801473/run.json,,,1000000,5.291097796875,0.4328786572625788,5.28125,5.28125,5.28125,5.28125,5.28125,5.2578125,59.5546875,20707,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,0
