host,family,qualification,cpu,bytes,stride,offset,align,page,batch,seed,l2_candidate_stride,l2_candidate_count,raw_unit,unit,timed_loads,raw,record,maximum,mean,median,minimum,n,outlier_rule,outliers,p05,p95,q1,q3,stddev,zero_samples
haswell,spatial_alignment,clean,11,2097152,512,72,0,base,512,5922026,,,TSC_ticks,TSC_ticks/access,512,machines/haswell/followup-v1/spatial_alignment/0270001f351f1df8/attempt-1789184522123916175/samples.u64.gz,machines/haswell/followup-v1/spatial_alignment/0270001f351f1df8/attempt-1789184522123916175/run.json,357.943359375,43.152116865234376,42.765625,42.146484375,1000000,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,34742,42.291015625,43.572265625,42.556640625,43.015625,3.550329707805575,0
haswell,spatial_alignment,clean,11,2097152,512,48,24,base,512,5922050,,,TSC_ticks,TSC_ticks/access,512,machines/haswell/followup-v1/spatial_alignment/02f151a65f297520/attempt-1789184826663054818/samples.u64.gz,machines/haswell/followup-v1/spatial_alignment/02f151a65f297520/attempt-1789184826663054818/run.json,357.29296875,43.39224191992187,42.986328125,42.255859375,1000000,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,28042,42.4296875,43.994140625,42.71875,43.31640625,3.544832526755161,0
haswell,spatial_alignment,clean,11,2097152,512,120,0,base,512,5922026,,,TSC_ticks,TSC_ticks/access,512,machines/haswell/followup-v1/spatial_alignment/0484d1da60d2406f/attempt-1789184612065263160/samples.u64.gz,machines/haswell/followup-v1/spatial_alignment/0484d1da60d2406f/attempt-1789184612065263160/run.json,369.08984375,43.29399960546875,42.9453125,42.111328125,1000000,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,30455,42.400390625,43.693359375,42.71484375,43.197265625,3.4499356619001422,0
haswell,spatial_alignment,clean,11,524288,512,72,24,base,512,5922050,,,TSC_ticks,TSC_ticks/access,512,machines/haswell/followup-v1/spatial_alignment/07f0786558e9da9b/attempt-1789184349372613163/samples.u64.gz,machines/haswell/followup-v1/spatial_alignment/07f0786558e9da9b/attempt-1789184349372613163/run.json,206.62890625,41.9760048984375,41.6875,40.337890625,1000000,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,15558,40.720703125,42.5859375,41.380859375,42.017578125,3.4031811655816746,0
haswell,spatial_alignment,clean,11,2097152,512,104,24,base,512,5922050,,,TSC_ticks,TSC_ticks/access,512,machines/haswell/followup-v1/spatial_alignment/0b4bf777dfc3e65d/attempt-1789184881542049283/samples.u64.gz,machines/haswell/followup-v1/spatial_alignment/0b4bf777dfc3e65d/attempt-1789184881542049283/run.json,362.255859375,43.48053546679687,43.119140625,42.279296875,1000000,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,21321,42.57421875,43.8984375,42.888671875,43.400390625,3.3995543980973997,0
haswell,spatial_alignment,clean,11,524288,512,32,24,base,512,5922050,,,TSC_ticks,TSC_ticks/access,512,machines/haswell/followup-v1/spatial_alignment/0f2e65317d1a182e/attempt-1789184254535222692/samples.u64.gz,machines/haswell/followup-v1/spatial_alignment/0f2e65317d1a182e/attempt-1789184254535222692/run.json,234.83203125,24.3948223046875,24.185546875,23.267578125,1000000,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,7720,23.55078125,24.767578125,23.994140625,24.501953125,2.5757586539981006,0
haswell,spatial_alignment,clean,11,524288,512,72,0,base,512,5922026,,,TSC_ticks,TSC_ticks/access,512,machines/haswell/followup-v1/spatial_alignment/16cf3c1b3b0597cb/attempt-1789184124878524586/samples.u64.gz,machines/haswell/followup-v1/spatial_alignment/16cf3c1b3b0597cb/attempt-1789184124878524586/run.json,212.947265625,41.8469381796875,41.451171875,40.8359375,1000000,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,56342,41.119140625,42.197265625,41.3046875,41.646484375,3.514318418575151,0
haswell,spatial_alignment,clean,11,2097152,512,112,0,base,512,5922026,,,TSC_ticks,TSC_ticks/access,512,machines/haswell/followup-v1/spatial_alignment/1798ad8173bc54f6/attempt-1789184767356167828/samples.u64.gz,machines/haswell/followup-v1/spatial_alignment/1798ad8173bc54f6/attempt-1789184767356167828/run.json,416.119140625,43.58131609375,43.431640625,41.990234375,1000000,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,44983,42.75390625,43.904296875,43.220703125,43.640625,2.0577215818410677,0
haswell,spatial_alignment,clean,11,2097152,512,80,24,base,512,5922050,,,TSC_ticks,TSC_ticks/access,512,machines/haswell/followup-v1/spatial_alignment/1fd8721f0ccf36c9/attempt-1789184902809131288/samples.u64.gz,machines/haswell/followup-v1/spatial_alignment/1fd8721f0ccf36c9/attempt-1789184902809131288/run.json,381.12890625,43.88210857617187,43.71875,42.40625,1000000,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,14572,43.298828125,44.232421875,43.53125,43.927734375,1.7079275266323795,0
haswell,spatial_alignment,clean,11,2097152,512,56,24,base,512,5922050,,,TSC_ticks,TSC_ticks/access,512,machines/haswell/followup-v1/spatial_alignment/201ff6cd0c34dbb9/attempt-1789185059193128273/samples.u64.gz,machines/haswell/followup-v1/spatial_alignment/201ff6cd0c34dbb9/attempt-1789185059193128273/run.json,370.474609375,43.2711024765625,42.8828125,42.08203125,1000000,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,31720,42.388671875,43.712890625,42.638671875,43.13671875,3.564850796360946,0
